train/entropy_loss,train/clip_range,time/total_timesteps,train/policy_gradient_loss,time/time_elapsed,train/value_loss,train/clip_fraction,time/iterations,rollout/ep_rew_mean,train/loss,train/explained_variance,train/n_updates,train/learning_rate,rollout/ep_len_mean,train/approx_kl,time/fps
-0.9907763861119747,0.2,368640,-0.006532311599585228,192,463.3939621448517,0.068359375,360,25.172678870000006,274.6575012207031,0.46421366930007935,1436,0.0003,491.87,0.009345568,1913
-0.844803468324244,0.2,372736,0.00012896564294351265,194,81.12950029969215,0.004638671875,364,26.263116959999998,38.760284423828125,0.8430535942316055,1452,0.0003,484.74,0.0009701196,1913
-0.992521895095706,0.2,376832,-0.0036074352537980303,196,154.0118458867073,0.010009765625,368,31.514924129999994,33.41096496582031,0.784360334277153,1468,0.0003,502.47,0.0027002573,1913
-1.079381262883544,0.2,380928,-0.0036696086899610236,199,137.6397768855095,0.082275390625,372,33.74339091,35.77585983276367,0.7643344551324844,1484,0.0003,485.64,0.012418872,1913
-1.0613684197887778,0.2,385024,-0.0014301048940978944,201,116.85492342710495,0.00830078125,376,34.96496438,38.29904556274414,0.759071558713913,1500,0.0003,489.4,0.0036317348,1913
-1.00677131395787,0.2,389120,-0.004433536058058962,203,65.03289869427681,0.054443359375,380,40.843922320000004,28.490718841552734,0.9335696771740913,1516,0.0003,502.02,0.012658113,1913
-0.9245882229879498,0.2,393216,-0.00037269150925567374,205,55.22860074043274,0.107421875,384,41.95004928,24.92715072631836,0.9037476405501366,1532,0.0003,514.58,0.0047762333,1913
-1.0204123416915536,0.2,397312,-0.00813710322836414,207,186.17081463336945,0.04443359375,388,43.948754339999994,75.64892578125,0.8214565962553024,1548,0.0003,514.94,0.004163696,1913
-1.014151663519442,0.2,401408,-0.00734260866738623,209,55.05201178789139,0.0390625,392,48.24466794999999,20.468664169311523,0.9339950233697891,1564,0.0003,534.97,0.0043829596,1913
-1.026336558163166,0.2,405504,-0.0022356964836944826,211,450.02299332618713,0.002685546875,396,49.95120186000001,331.87713623046875,0.4536510109901428,1580,0.0003,538.47,0.000909065,1913
-0.940426804125309,0.2,409600,-0.0025325674141640775,214,394.1607983112335,0.009765625,400,50.67055609000001,135.989013671875,0.6497420072555542,1596,0.0003,537.91,0.0029493137,1913
-1.0740740895271301,0.2,413696,-0.0025880839457386173,216,206.34518671035767,0.004638671875,404,54.45163485999999,68.7384262084961,0.578046441078186,1612,0.0003,546.19,0.0010009174,1913
-0.8769658114761114,0.2,417792,-0.0010382406326243654,218,317.2056338787079,0.000244140625,408,58.30389400999999,95.12132263183594,0.48372530937194824,1628,0.0003,565.13,0.0005714785,1913
-0.8134738793596625,0.2,421888,0.000681478573824279,220,592.0743644237518,0.002685546875,412,59.409332439999986,177.62608337402344,0.5038866698741913,1644,0.0003,576.87,0.0012629943,1913
-1.008939752355218,0.2,425984,-0.0008714059076737612,222,307.19830334186554,0.0029296875,416,60.26682202,174.33724975585938,0.49520766735076904,1660,0.0003,569.76,0.0028673024,1913
-1.0281228199601173,0.2,430080,-0.0017255363854928873,224,163.44706869125366,0.06591796875,420,59.700671840000005,34.44059371948242,0.7745046764612198,1676,0.0003,574.22,0.009442858,1913
-1.0136781875044107,0.2,434176,-0.0023984519502846524,226,301.7298187017441,0.00537109375,424,58.951526380000004,94.3199234008789,0.6639568507671356,1692,0.0003,574.06,0.0017585675,1913
-0.9630668954923749,0.2,438272,-0.0030673768342239782,229,68.32574421167374,0.02392578125,428,60.949581020000004,10.31546401977539,0.8052680492401123,1708,0.0003,590.59,0.004781598,1912
